match_id,team_id,team_name,opponent_id,opponent_name,starting_11_players,team_xg
122858,31,TSG 1899 Hoffenheim,30,VfL Wolfsburg,"['Andrej Kramaric', 'Kevin Vogt', 'John Brooks', 'Oliver Baumann', 'Florian Grillitsch', 'Wout Weghorst', 'Ihlas Bebou', 'Grischa Prömel', 'Attila Szalai', 'Marius Bülter', 'Maximilian Beier']",1.7541599999999997
122859,38,SV Werder Bremen,42,1. FSV Mainz 05,"['Mitchell Weiser', 'Anthony Jung', 'Niklas Stark', 'Romano Schmid', 'Marco Friedl', 'Dawid Kownacki', 'Amos Pieper', 'Jiri Pavlenka', 'Marvin Ducksch', 'Jens Stage', 'Christian Groß']",2.5637
122859,42,1. FSV Mainz 05,38,SV Werder Bremen,"['Karim Onisiwo', 'Dominik Kohr', 'Robin Zentner', 'Edimilson Fernandes', 'Phillipp Mwene', 'Jae-sung Lee', 'Leandro Barreiro', 'Andreas Hanche-Olsen', 'Anthony Caci', 'Sepp van den Berg', 'Brajan Gruda']",0.8963700000000001
122860,39,FC Augsburg,416,VfL Bochum,"['Niklas Dorsch', 'Finn Dahmen', 'Elvis Rexhbecaj', 'Felix Uduokhai', 'Phillip Tietz', 'Mads Pedersen', 'Ermedin Demirovic', 'Rubén Vargas', 'Maximilian Bauer', 'Arne Engels', 'Dion Beljo']",1.93991
122860,416,VfL Bochum,39,FC Augsburg,"['Matus Bero', 'Felix Passlack', 'Kevin Stöger', 'Ivan Ordets', 'Bernardo', 'Manuel Riemann', 'Anthony Losilla', 'Takuma Asano', 'Maximilian Wittek', 'Erhan Masovic', 'Philipp Hofmann']",1.1858199999999997
122861,34,SC Freiburg,46,VfB Stuttgart,"['Matthias Ginter', 'Roland Sallai', 'Michael Gregoritsch', 'Lukas Kübler', 'Nicolas Höfler', 'Vincenzo Grifo', 'Maximilian Eggestein', 'Lucas Höler', 'Philipp Lienhart', 'Noah Atubolu', 'Kiliann Sildillia']",1.4648299999999999
122861,46,VfB Stuttgart,34,SC Freiburg,"['Alexander Nübel', 'Serhou Guirassy', 'Pascal Stenzel', 'Waldemar Anton', 'Dan-Axel Zagadou', 'Atakan Karazor', 'Angelo Stiller', 'Chris Führich', 'Woo-yeong Jeong', 'Silas', 'Hiroki Ito']",2.03902
122862,32,Borussia Mönchengladbach,33,FC Bayern München,"['Julian Weigl', 'Moritz Nicolas', 'Marvin Friedrich', 'Alassane Pléa', 'Maximilian Wöber', 'Florian Neuhaus', 'Ko Itakura', 'Rocco Reitz', 'Tomas Cvancara', 'Nathan Ngoumou', 'Joe Scally']",0.51818
122862,33,FC Bayern München,32,Borussia Mönchengladbach,"['Joshua Kimmich', 'Leroy Sané', 'Thomas Müller', 'Harry Kane', 'Kingsley Coman', 'Leon Goretzka', 'Sven Ulreich', 'Dayot Upamecano', 'Noussair Mazraoui', 'Alphonso Davies', 'Min-jae Kim']",2.4039800000000007
122863,27,1. FC Köln,35,Eintracht Frankfurt,"['Florian Kainz', 'Benno Schmitz', 'Luca Waldschmidt', 'Leart Paçarada', 'Timo Hübers', 'Marvin Schwäbe', 'Jeff Chabot', 'Steffen Tigges', 'Dejan Ljubicic', 'Linton Maina', 'Eric Martel']",0.91168
122863,35,Eintracht Frankfurt,27,1. FC Köln,"['Mario Götze', 'Kevin Trapp', 'Philipp Max', 'Ellyes Skhiri', 'Aurélio Buta', 'Robin Koch', 'Junior Dina Ebimbe', 'Tuta', 'Willian Pacho', 'Omar Marmoush', 'Hugo Larsson']",1.18895
122864,37,RasenBallsport Leipzig,446,1. FC Union Berlin,"['Yussuf Poulsen', 'Kevin Kampl', 'Willi Orbán', 'Benjamin Henrichs', 'Loïs Openda', 'Dani Olmo', 'Xaver Schlager', 'David Raum', 'Janis Blaswich', 'Mohamed Simakan', 'Xavi Simons']",1.05965
122864,446,1. FC Union Berlin,37,RasenBallsport Leipzig,"['Frederik Rönnow', 'Kevin Volland', 'Robin Knoche', 'Aïssa Laïdouni', 'Diogo Leite', 'Danilho Doekhi', 'Josip Juranovic', 'Alex Král', 'Robin Gosens', 'Kevin Behrens', 'David Datro Fofana']",0.29753
122865,33,FC Bayern München,41,Bayer 04 Leverkusen,"['Joshua Kimmich', 'Leroy Sané', 'Thomas Müller', 'Harry Kane', 'Leon Goretzka', 'Sven Ulreich', 'Serge Gnabry', 'Konrad Laimer', 'Dayot Upamecano', 'Alphonso Davies', 'Min-jae Kim']",2.20137
122865,41,Bayer 04 Leverkusen,33,FC Bayern München,"['Granit Xhaka', 'Jonathan Tah', 'Lukas Hradecky', 'Jonas Hofmann', 'Alejandro Grimaldo', 'Robert Andrich', 'Jeremie Frimpong', 'Odilon Kossounou', 'Edmond Tapsoba', 'Florian Wirtz', 'Victor Boniface']",2.38042
122866,37,RasenBallsport Leipzig,39,FC Augsburg,"['Emil Forsberg', 'Yussuf Poulsen', 'Kevin Kampl', 'Benjamin Henrichs', 'Loïs Openda', 'Xaver Schlager', 'David Raum', 'Janis Blaswich', 'Castello Lukeba', 'Mohamed Simakan', 'Xavi Simons']",1.2838800000000001
122866,39,FC Augsburg,37,RasenBallsport Leipzig,"['Niklas Dorsch', 'Finn Dahmen', 'Elvis Rexhbecaj', 'Kevin Mbabu', 'Felix Uduokhai', 'Mads Pedersen', 'Ermedin Demirovic', 'Patric Pfeiffer', 'Rubén Vargas', 'Maximilian Bauer', 'Dion Beljo']",1.4795899999999997
122867,29,Borussia Dortmund,34,SC Freiburg,"['Emre Can', 'Mats Hummels', 'Marcel Sabitzer', 'Julian Brandt', 'Gregor Kobel', 'Ramy Bensebaini', 'Donyell Malen', 'Sébastien Haller', 'Julian Ryerson', 'Nico Schlotterbeck', 'Karim Adeyemi']",1.76645
122867,34,SC Freiburg,29,Borussia Dortmund,"['Matthias Ginter', 'Roland Sallai', 'Michael Gregoritsch', 'Lukas Kübler', 'Nicolas Höfler', 'Manuel Gulde', 'Maximilian Eggestein', 'Lucas Höler', 'Ritsu Doan', 'Philipp Lienhart', 'Noah Atubolu']",0.9034799999999998
122868,30,VfL Wolfsburg,446,1. FC Union Berlin,"['Yannick Gerhardt', 'Koen Casteels', 'Maximilian Arnold', 'Jonas Wind', 'Rogério', 'Mattias Svanberg', 'Joakim Maehle', 'Lovro Majer', 'Maxence Lacroix', 'Moritz Jenz', 'Patrick Wimmer']",0.46399
122868,446,1. FC Union Berlin,30,VfL Wolfsburg,"['Frederik Rönnow', 'Robin Knoche', 'Janik Haberer', 'Aïssa Laïdouni', 'Diogo Leite', 'Christopher Trimmel', 'Danilho Doekhi', 'Alex Král', 'Robin Gosens', 'Kevin Behrens', 'David Datro Fofana']",1.8232100000000004
122869,42,1. FSV Mainz 05,46,VfB Stuttgart,"['Karim Onisiwo', 'Dominik Kohr', 'Stefan Bell', 'Robin Zentner', 'Edimilson Fernandes', 'Phillipp Mwene', 'Jae-sung Lee', 'Marco Richter', 'Leandro Barreiro', 'Anthony Caci', 'Sepp van den Berg']",1.17699
